count	first_key	ja	ko
62	S1A:0100tbl:2	マリアのブロマイドだ。\n……物思いにふけっている。\nどことなく悲しそうな……	
62	S1A:0100tbl:4	アイリスのブロマイドだ。\n花に囲まれたアイリスは、\n一輪のかわいい花のようだ。	
62	S1A:0100tbl:6	お客さんからあずかった手紙だ。\nすみれくんに渡してくれと\nたのまれたけど……うーむ。	
62	S1A:0100tbl:7	マリアの銃だ。\n……何とかこれを使って脱出する\n方法はないか？	
62	S1A:0100tbl:8	かみかざりだ。\n花が形どられていて、\nとても可愛らしい。	
62	S1A:0100tbl:10	かんざしだ。これに似合う格好は\n和服に、かみは丸まげ・高島田と\nいった感じだな。	
62	S1A:0100tbl:11	アイリスの大切なお友達、クマの\nジャンポールだ。彼女がとても\n可愛がっている人形だ。	
62	S1A:0100tbl:12	このカギがあれば、\n行けなかった部屋にも\n行けるようになるはずだ。	
62	S1A:0100tbl:13	２階の寝室でひろったものだ。\nこれがあれば、奥の部屋にも\n行けるようになるはずだ。	
62	S1A:0100tbl:14	アイリスに取ってくるように\n頼まれたコップだ。ちょっとした\nおしゃれなコップだ。	
62	S1A:0100tbl:15	アイリスに取ってくるように\n頼まれたマッチ箱だ。マッチ箱の\n広告にしてはカラフルだ。	
62	S1A:0100tbl:16	アイリスに取ってくるように\n頼まれたナイフだ。\n食事用のごく普通のものだ。	
62	S1A:0100tbl:17	舞台で使われていた造り物の\n剣と盾だ。細部にまで手の\nほどこされた小道具だ。	
62	S1A:0100tbl:18	舞台で使われていた造り物の\n王冠だ。細かな細工部分が非常に\nうまく造られている。	
62	S1A:0100tbl:19	舞台で使用するかつらの衣装だ。\nこの派手な衣装、一体どんな\n舞台で使用するんだろう。	
62	S1A:0100tbl:20	さくらの水着姿か。\nこんなブロマイドもあるんだ……\n他人にはゆずれないな、これは。	
62	S1A:0100tbl:21	すみれの舞台姿だ。\n力の入ったメイクが\nとても印象的だ。	
62	S1A:0100tbl:22	舞台上のマリアだ。\n『愛ゆえに』の軍服姿か……\nまさに男装の麗人、だな。	
62	S1A:0100tbl:23	トレーニング姿っていうのも\n珍しいな。かなりプライベート\nな雰囲気のブロマイドだな。	
62	S1A:0100tbl:24	アイリスの水着姿か。\n浮き輪を持ってるところなんか、\n可愛くて良いなぁ。	
62	S1A:0100tbl:25	メイド姿の紅蘭だ。三つ編みを\nほどいたヘアースタイルも、\nなかなか似合ってるな。	
62	S1A:0100tbl:26	あやめさんの和服姿だ。いつも\nこんな風に、ほほえんでいて\nもらいたいものだなぁ。	
62	S1A:0100tbl:27	あやめさんの銃だ。\nなぜ、これを俺に……	
62	S1A:0301tbl:270	……はい。	
62	S1A:0801tbl:634	紅蘭	
60	S2:EV07002:1	レニ……	
60	S2A:SK0307:594	服装４\n表情０１	
59	S2A:SK0401:333	シロ	
59	S2A:SK0401:334	花丸	
59	S2A:SK0401:335	ダイ	
59	S2A:SK0401:336	トルテ	
59	S2A:SK0401:337	ロン	
59	S2A:SK0401:338	アルタイル	
59	S2A:SK0401:339	フント	
58	S1A:0109tbl:81	カンナ……	
58	S1A:0109tbl:98	紅蘭……	
58	S1S:m01mes:117	がんばって！　大神さん！	
58	S1S:m01mes:118	大神さんが頼りです！	
58	S1S:m01mes:145	アイリス、いきまーす！	
57	S1A:0100tbl:444	きれいなペンダントだ。\n細かな細工がほどこされていて、\nとても美しい。	
55	S1A:0109tbl:71	マリア……	
54	S2A:SK0307:595	服装４\n表情０２	
53	S1A:0109tbl:62	すみれくん……	
52	S1A:0201tbl:146	はい……	
52	S1A:0202tbl:5	紅蘭のブロマイドだ。\n夕日に、紅くそまった\n横顔がきれいだな……	
52	S1A:1001tbl:414	来たれ‼	
51	S1A:0801tbl:624	アイリス	
50	S2A:SK0102:319	５０銭になりまーす。\n毎度、ありがとうございます！	
49	S1A:0101tbl:725	お買いあげですね？\nありがとうございまーす！	
49	S2:STNSYS00:171	……行動開始。	
49	S2:STNSYS00:181	一時、撤退……	
49	S2:STNSYS00:183	目標、撃破確認……	
49	S2:STNSYS00:185	目標撃破……	
48	S1S:m01mes:10	帝国華撃団、参上！	
48	S2A:SK0307:596	服装４\n表情０３	
48	S2A:SK0307:597	服装４\n表情０４	
46	S1A:0100tbl:554	お役に立てましたか？\nまいどありがとうございますっ！	
46	S1A:0101tbl:720	大神さん。\nお気持ちはわかりますけど……	
46	S1A:0302tbl:3	カンナのブロマイドだ。\n見るからにカンナらしい力強さが\n伝わってくるようだ。	
46	S1A:0801tbl:618	カンナ	
45	S1A:0206tbl:33	本来ブロマイドは\nお客さんの為のものですから\n一枚だけにしておいてください。	
44	S1A:0100tbl:551	いらっしゃいませ。\nこんにちは！\n何をお求めですか？	
44	S1A:0100tbl:553	あ、大神さん。\nいらっしゃい！\n何かお求めですか？	
44	S1A:0206tbl:35	そうか、なら仕方ないね。\n……また来るとするよ。	
44	S1A:0700tbl:381	お兄ちゃん……	
43	S1A:0100tbl:160	はいっ！	
43	S1A:0101tbl:788	アイリス……	
41	S1A:0801tbl:615	マリア	
41	S2:STNSYS00:164	これ以上はカンベンでーす！	
40	S2:STNSYS00:44	さくらくん……\n君は俺が守る！	
40	S2:STNSYS00:76	うれしいですわ……\n少尉……	
40	S2:STNSYS00:93	すいません、隊長。	
40	S2:STNSYS00:110	すまねぇな、隊長。	
40	S2:STNSYS00:154	少尉さん、\nお手並み拝見でーす！	
40	S2:STNSYS00:166	なかなかやるってカンジ！	
40	S2:STNSYS00:196	あははははは！	
39	S2:STNSYS00:0	疾きこと風のごとく……\n移動力重視の作戦だ！	
39	S2:STNSYS00:1	今は、この命令を出している。\n移動力を活かして戦おう。	
39	S2:STNSYS00:2	花組各員に通達！\n「風」作戦を開始するぞ！	
39	S2:STNSYS00:3	林のように心静かに……\n本来の力を引き出すんだ！	
39	S2:STNSYS00:4	今は、この命令を出している。\n本来の力で敵に立ち向かおう。	
39	S2:STNSYS00:5	花組各員に通達！\n「林」作戦を開始するぞ！	
39	S2:STNSYS00:6	炎のように熱く燃える……\n攻撃力重視の作戦だ！	
39	S2:STNSYS00:7	今は、この命令を出している。\n攻撃力を活かして戦おう。	
39	S2:STNSYS00:8	花組各員に通達！\n「火」作戦を開始するぞ！	
39	S2:STNSYS00:9	構えること山のごとく……\n防御力重視の作戦だ！	
39	S2:STNSYS00:10	今は、この命令を出している。\n防御力を活かして戦おう。	
39	S2:STNSYS00:11	花組各員に通達！\n「山」作戦を開始するぞ！	
39	S2:STNSYS00:12	このままの作戦でいくぞ！	
39	S2:STNSYS00:19	０メッセージ２－３	
39	S2:STNSYS00:21	０メッセージ３－２	
39	S2:STNSYS00:22	０メッセージ３－３	
39	S2:STNSYS00:23	花組の隊長、大神一郎。\n高い戦闘力と、\n勇敢な心を持っている。	
39	S2:STNSYS00:24	北辰一刀流、真宮寺さくら。\n素早い動きで、\n敵を一刀両断する。	
39	S2:STNSYS00:25	神崎風塵流、神崎すみれ。\n華麗なナギナタの技は、\n見るものの心をもとらえる。	
39	S2:STNSYS00:26	射撃手、マリア・タチバナ。\n氷の銃弾は、狙った\n獲物を決して逃さない。	
39	S2:STNSYS00:27	桐島流空手、桐島カンナ。\n圧倒的なパワーで、むらがる\n敵を粉砕する。	
39	S2:STNSYS00:28	花組のマスコット、アイリス。\n超能力を使った、\n不思議な攻撃で敵と戦う。	
39	S2:STNSYS00:29	発明家、李紅蘭。\n次々に繰り出す発明品で、\n敵味方をあっといわせるぞ。	
39	S2:STNSYS00:30	元星組隊員、ソレッタ・織姫。\nイタリアンローズの機体に乗り\n赤い貴族と呼ばれている。	
39	S2:STNSYS00:43	今のところ、\nかばう必要はなさそうだな。	
39	S2:STNSYS00:45	すみれくん……\n君の盾になってもいいかい。	
39	S2:STNSYS00:46	マリア……\n君の背中を守らせてくれ。	
39	S2:STNSYS00:47	カンナ……\n俺は、君を全力で守るぞ！	
39	S2:STNSYS00:48	アイリス……\n俺が側にいるから、\n安心していいよ。	
39	S2:STNSYS00:49	紅蘭……\nいつだって君を助けにゆくよ。	
39	S2:STNSYS00:50	織姫くん……\n苦しいときは、\nいつでも俺を呼んでくれ！	
39	S2:STNSYS00:51	レニ……\nたまには、\n守られたっていいだろう？	
39	S2:STNSYS00:54	無理しないでください、\n大神さん……	
39	S2:STNSYS00:55	がんばります！	
39	S2:STNSYS00:56	大神さんのために……\nあたし、やります！	
39	S2:STNSYS00:57	あたしが\nがんばらなくっちゃ！	
39	S2:STNSYS00:58	あたし……負けないわ……	
39	S2:STNSYS00:59	……ありがとうございます。\n大神さん。	
39	S2:STNSYS00:60	大神さんがいてくれるから、\nあたし、がんばれます！	
39	S2:STNSYS00:61	大丈夫ですか……大神さん。	
39	S2:STNSYS00:62	大神さん……\nごめんなさい……	
39	S2:STNSYS00:63	ここは大神さんに\nお任せします……\n……ごめんなさい。	
39	S2:STNSYS00:64	やりましたね、大神さん！	
39	S2:STNSYS00:65	今日の大神さん、\n一味違いますね。	
39	S2:STNSYS00:66	やりました！	
39	S2:STNSYS00:67	大神さんのおかげです！	
39	S2:STNSYS00:68	大神さん……\nあたし、信じています。	
39	S2:STNSYS00:69	見せ場がきましてよ、少尉。	
39	S2:STNSYS00:70	がんばってください、\nわたくしのために……	
39	S2:STNSYS00:71	無理は禁物ですわ……	
39	S2:STNSYS00:72	さあ、いきますわよ！	
39	S2:STNSYS00:73	少尉、わたくしを\n見ていてくださいな。	
39	S2:STNSYS00:74	わたくしでなくては\nダメですわね。	
39	S2:STNSYS00:75	こ、この程度で……	
39	S2:STNSYS00:77	わたくしを守ることが\nできるのは少尉だけですわ。	
39	S2:STNSYS00:78	かっ、身体が勝手に\n動いただけですわ……	
39	S2:STNSYS00:79	わたくしとしたことが……	
39	S2:STNSYS00:80	少尉を……\n……置いてはいけないのに！	
39	S2:STNSYS00:81	お見事ですわ、少尉。	
39	S2:STNSYS00:82	りりしいですわよ、少尉。	
39	S2:STNSYS00:83	たいしたことありませんわね。	
39	S2:STNSYS00:84	見てくださいました？　少尉。	
39	S2:STNSYS00:86	隊長、お願いします。	
39	S2:STNSYS00:87	隊長……\n信じています。	
39	S2:STNSYS00:88	隊長……\n慎重にいきましょう。	
39	S2:STNSYS00:89	さぁ、覚悟しなさい。	
39	S2:STNSYS00:90	私には、隊長が\nついていてくれる……	
39	S2:STNSYS00:91	私がしっかりしなくては……	
39	S2:STNSYS00:92	くっ、まだ……やれる！	
39	S2:STNSYS00:94	隊長の背中……\nとても大きく見えます……	
39	S2:STNSYS00:95	隊長が無事でよかった……	
39	S2:STNSYS00:96	隊長……申し訳ありません……	
39	S2:STNSYS00:97	もう少し……\n隊長と共に……	
39	S2:STNSYS00:98	やりますね、隊長。	
39	S2:STNSYS00:99	隊長が\nいてくださってよかった……	
39	S2:STNSYS00:100	ふんっ！　この程度……？	
39	S2:STNSYS00:101	隊長、すばらしい指揮です！	
39	S2:STNSYS00:102	隊長が、私の力を\n何倍にもしてくれます。	
39	S2:STNSYS00:103	やっちまえ！　隊長！	
39	S2:STNSYS00:104	あたいがついてるぜ、隊長。	
39	S2:STNSYS00:105	隊長の気合を見せてくれ！	
39	S2:STNSYS00:106	あたいの番だな！	
39	S2:STNSYS00:107	みていてくれよなっ！\n隊長！	
39	S2:STNSYS00:108	まとめて面倒みるぜ！	
39	S2:STNSYS00:109	まだまだ、\nどんどんかかってこいっ！	
39	S2:STNSYS00:111	へへっ、\n守られるってのも悪くないな。	
39	S2:STNSYS00:112	へへっ、らしくないぜぇ？\n隊長！	
39	S2:STNSYS00:113	ちくしょう……\nこんなところで……	
39	S2:STNSYS00:115	やるじゃねぇか！　隊長！	
39	S2:STNSYS00:116	ほれぼれするぜ！　隊長！	
39	S2:STNSYS00:117	ざっとこんなもんだぜ！	
39	S2:STNSYS00:119	誰もあたいたちを\n止められねぇぜ！	
39	S2:STNSYS00:120	がんばろうね、お兄ちゃん。	
39	S2:STNSYS00:121	お兄ちゃん、いっけぇー！	
39	S2:STNSYS00:122	お兄ちゃん……負けないで！	
39	S2:STNSYS00:124	えへへっ、\nアイリスがんばるよ！	
39	S2:STNSYS00:125	アイリスが\nがんばらなくちゃ！	
39	S2:STNSYS00:126	アイリス……もうだめ……	
39	S2:STNSYS00:127	アイリスのために\n来てくれたんだぁー！	
39	S2:STNSYS00:128	お兄ちゃんは、\n白馬のおうじさまだね！	
39	S2:STNSYS00:129	お兄ちゃん……\nアイリスがついてるからね。	
39	S2:STNSYS00:130	あ……止まっちゃった……	
39	S2:STNSYS00:131	お兄ちゃん……\nごめんね……	
39	S2:STNSYS00:132	わーい、やったね！\nお兄ちゃん！	
39	S2:STNSYS00:133	お兄ちゃん、\nすごい、すっごーい！	
39	S2:STNSYS00:134	アイリス、すごいでしょ！	
39	S2:STNSYS00:135	ねぇ、ねぇ！\nほめてほめて！	
39	S2:STNSYS00:136	お兄ちゃんがいれば、\nアイリスなんにも恐くないよ！	
39	S2:STNSYS00:137	頼んだで、大神はん。	
39	S2:STNSYS00:138	ウチらの力、見せたろうで！	
39	S2:STNSYS00:139	だ、大丈夫かいな、大神はん。	
39	S2:STNSYS00:140	ほな、いってみよか！	
39	S2:STNSYS00:141	大神はん、\nウチにまーかしとき！	
39	S2:STNSYS00:142	ウチががんばらんと！	
39	S2:STNSYS00:143	や、やばいで……	
39	S2:STNSYS00:144	お、おおきに、\n大神はん……	
39	S2:STNSYS00:145	もう、そないなことされたら、\nウチ……	
39	S2:STNSYS00:146	大神はんがおらんと、\nウチ……こまるんや。	
39	S2:STNSYS00:147	そのへんで、堪忍や……	
39	S2:STNSYS00:148	大神はん、すんまへん。	
39	S2:STNSYS00:149	大神はん、その調子や！	
39	S2:STNSYS00:150	ええ感じやで！　大神はん！	
39	S2:STNSYS00:151	いっちょあがりや！	
39	S2:STNSYS00:152	大神はん、\nやったで、ウチ！	
39	S2:STNSYS00:153	ウチらの力を合わせれば、\n千人力や！	
39	S2:STNSYS00:156	ちょっと、\nヤバそうってカンジ！	
39	S2:STNSYS00:160	シャワー浴びたいでーす！	
39	S2:STNSYS00:163	まったく、\nダメなオトコでーす！	
39	S2:STNSYS00:168	楽勝でーす！	
39	S2:STNSYS00:169	うふっ！\n拍手をくださーい！	
39	S2:STNSYS00:170	このデュオは最高でーす！	
39	S2:STNSYS00:173	……危険だよ。	
39	S2:STNSYS00:177	機体の損傷が激しい……	
39	S2:STNSYS00:180	隊長……しっかり……	
39	S2:STNSYS00:187	これが……ボクらの力……！	
39	S2:STNSYS00:188	そぉら、いくぜ！	
39	S2:STNSYS00:189	さぁ、楽しませてくれよ。	
39	S2:STNSYS00:190	勝負は……これからだぜ！	
39	S2:STNSYS00:191	なかなか、\nやるじゃねぇか！	
39	S2:STNSYS00:192	おもしれぇ……	
39	S2:STNSYS00:193	大丈夫か、水狐。	
39	S2:STNSYS00:194	華麗に燃やしてあげますよ……	
39	S2:STNSYS00:195	覚悟してください。	
39	S2:STNSYS00:197	燃やしつくしてやる！	
39	S2:STNSYS00:198	ご……ゴミが……	
39	S2:STNSYS00:199	私の戦いを見せてあげる。	
39	S2:STNSYS00:200	やさしくしてあげるわ。	
39	S2:STNSYS00:201	ふふふ……負けないわよ。	
39	S2:STNSYS00:202	やるわね。\nさすが華撃団……	
39	S2:STNSYS00:203	くっ……\nこれほどとはね……	
39	S2:STNSYS00:204	さぁ、ワシの番じゃな。	
39	S2:STNSYS00:205	ワシの計算にぬかりはないぞ。	
39	S2:STNSYS00:206	こ、このままでは\n終わらぬぞ……	
39	S2:STNSYS00:207	これも計算のうちじゃ。	
39	S2:STNSYS00:208	ぬうっ……\nこれは計算外じゃ……	
39	S2:STNSYS00:209	狩りとってやる！	
39	S2:STNSYS00:210	今、楽にしてやるからな。	
39	S2:STNSYS00:211	ひ、ひねり殺してやる！	
39	S2:STNSYS00:212	勝ったと思うなよ……	
39	S2:STNSYS00:213	まだ、終わりではないぞ！	
39	S2:STNSYS00:214	終わりにしてやる。	
39	S2:STNSYS00:215	いくぞ！　華撃団っ！	
39	S2:STNSYS00:216	まだ、まだだっ！	
39	S2:STNSYS00:217	腕を上げたな……	
39	S2:STNSYS00:218	ぐっ……\nわたしの復讐が……	
39	S2:STNSYS00:219	容赦はせぬぞ……	
39	S2:STNSYS00:220	お前たちの罪を知れ……	
39	S2:STNSYS00:221	戦いとはいつも無常だ……	
39	S2:STNSYS00:222	愛は死んだ……	
39	S2:STNSYS00:223	ぬぅ……やるな……	
39	S2A:SK0307:600	服装４\n表情０７	
38	S1A:0100tbl:102	…………！	
38	S1A:0101tbl:709	ブロマイドをお買いあげですか？\nありがとうございまーす！	
38	S2:STNSYS00:31	レニ・ミルヒシュトラーセ。\n戦闘のプロとして、正確な\n無駄のない攻撃を行う。	
38	S2:STNSYS00:118	へっへーん！\nどうだい！　隊長！	
38	S2:STNSYS00:155	早く終わらせて帰りましょー。	
38	S2:STNSYS00:157	たのしいでーす！	
38	S2:STNSYS00:158	わたしを見ていてくださーい！	
38	S2:STNSYS00:165	もうだめです。\n撤退します……隊長……	
38	S2:STNSYS00:167	少尉さん、\nちょーかっこいいでーす！	
38	S2:STNSYS00:224	私に触れるな！	
38	S2:STNSYS00:225	帝都の恨みは、\nこの程度ではないぞ……	
38	S2:STNSYS00:226	最後に勝つのは……私だ！	
38	S2:STNSYS00:227	この程度で……ぬうっ！	
38	S2:STNSYS00:228	思い上がるな……\n偽善者めっ！	
37	S1A:0206tbl:38	お客さんの分もありますから、\n今は一枚だけに\nしておいてくださいね。	
37	S2:STNSYS00:20	大神さん、山崎は強いわ。\n一時撤退しましょう！	
37	S2:STNSYS00:42	メッセージ２０	
37	S2:STNSYS00:114	隊長、すまない。\nあたいの分まで\nがんばってくれ！	
37	S2A:SK0307:598	服装４\n表情０５	
37	S2A:SK0307:601	服装４\n表情０８	
36	S2:STNSYS00:162	少尉さん、\n無理しなくていいでーす……	
35	S1A:0202tbl:618	はい。	
35	S1A:0306tbl:233	……ありがとう。	
35	S1A:0801tbl:806	そうね！\nやっぱり、花組全員集合の\n初もうでですね！	
35	S2A:SK0307:599	服装４\n表情０６	
34	S2:STNSYS00:176	頼れるのは自分だけ……	
33	S1A:0306tbl:181	そうか……	
33	S1A:1002tbl:49	みんな……	
32	S1A:0100tbl:52	……………………	
32	S1A:0100tbl:96	は、はあ……	
32	S1A:0100tbl:231	……うん。	
32	S1A:0101tbl:676	……！	
32	S1A:0102tbl:181	うん！	
32	S1A:0900tbl:900	大神はん……	
32	S2:STNSYS00:41	メッセージ１９	
32	S2A:SK0401:354	さくらくん<FFFD>	
32	S2A:SK0401:355	すみれくん<FFFD>	
32	S2A:SK0401:356	マリア<FFFD>	
32	S2A:SK0401:357	カンナ<FFFD>	
32	S2A:SK0401:358	アイリス<FFFD>	
32	S2A:SK0401:359	紅蘭<FFFD>	
32	S2A:SK0401:360	織姫くん<FFFD>	
32	S2A:SK0401:361	レニ<FFFD>	
31	S2A:SK0401:369	レニ	
30	S1A:0101tbl:193	は、はい！	
30	S1A:0101tbl:221	少尉……	
30	S2:STNSYS00:16	０メッセージ１－３	
30	S2:STNSYS00:184	やるね、隊長。	
29	S1S:m01mes:111	あたしが、頑張んなきゃ！	
29	S2:EV20041:46	織姫くん……	
29	S2:STNSYS00:172	隊長、気を付けて。	
29	S2:STNSYS00:174	いくよ！	
29	S2:STNSYS00:175	指示、よろしく。	
29	S2:STNSYS00:182	隊長、\nあとは……よろしく。	
29	S2:STNSYS00:186	隊長……\n次の指示を……	
29	S2A:SK0302:637	……やっぱり、\n他の部屋に行ってみるか。	
29	S2A:SK0401:340	シロ<FFFD>	
29	S2A:SK0401:341	花丸<FFFD>	
29	S2A:SK0401:342	ダイ<FFFD>	
29	S2A:SK0401:343	トルテ<FFFD>	
29	S2A:SK0401:344	ロン<FFFD>	
29	S2A:SK0401:345	アルタイル<FFFD>	
29	S2A:SK0401:346	フント<FFFD>	
29	S2A:SK0401:362	さくらくん	
29	S2A:SK0401:363	すみれくん	
29	S2A:SK0401:368	織姫くん	
28	S1A:0100tbl:47	はっ！	
28	S1A:0206tbl:150	他の部屋に行ってみるか。	
28	S1A:0801tbl:598	紅蘭と行く	
28	S1A:0801tbl:608	アイリスと行く\n紅蘭と行く	
28	S1A:0801tbl:644	アイリス\n紅蘭	
28	S1A:0801tbl:1020	ありがとうございます！	
26	S1A:0306tbl:351	それは……	
26	S1S:m01mes:82	さくらくん……\n俺は必ず、きみを守る！	
26	S1S:m01mes:83	すみれくん……\n俺がいつでも守ってやるよ。	
26	S1S:m01mes:84	マリア……\nきみの背中を守らせてくれ。	
26	S1S:m01mes:85	いつでも、アイリスのことを\n守ってあげるよ。	
26	S1S:m01mes:86	紅蘭は俺が守る！\nだから、心配するな！	
26	S1S:m01mes:87	カンナ！\n防御なら俺にまかせろ！	
26	S2:STNSYS00:18	敵の大将、土は、\n攻撃回数が多いわ。\n気をつけるのよ！	
26	S2:STNSYS00:85	んふっ、\nちょろいもんですわね。\nねぇ、少尉……	
25	S1A:0201tbl:120	大神さん！	
25	S1S:m01mes:81	みんな、俺が守らなくても\nだいじょうぶだな。	
25	S2:STNSYS01:176	ボクの力で……倒す……	
24	S1A:0101tbl:910	……？	
23	S1A:0202tbl:882	少尉！	
23	S1A:0306tbl:163	……ん？	
23	S1A:0900tbl:795	！	
23	S2:STNSYS00:17	門の外に出て、\n土機を撃破するのよ！	
23	S2A:SK0102:403	他の部屋に行く。	
22	S1A:0102tbl:34	戦闘パートをプレイする\nプレイしない	
22	S1A:0102tbl:458	……え？	
22	S1A:0504tbl:361	はい、わかりました。	
22	S2:STNSYS01:159	勝手にやらせてもらいまーす！	
22	S2:STNSYS01:161	あはっ！\n少尉さん、サンキュでーす！	
22	S2:SYS00:40	メッセージ１８	
22	S2A:SK0601:234	★マクロが終了しました。	
22	S2A:SK0601:235	次のマクロへ進む。	
22	S2A:SK0601:236	このマクロを繰り返す。	
22	S2A:SK0601:237	任意のマクロを実行する。	
21	S1A:0202tbl:361	え？	
21	S1A:0301tbl:683	うーん……	
21	S1A:0400tbl:361	ああ……	
21	S1A:0801tbl:588	アイリスと行く	
21	S1A:0801tbl:594	カンナと行く\nアイリスと行く	
21	S1A:0801tbl:604	カンナと行く\n紅蘭と行く	
21	S1A:0801tbl:630	カンナ\nアイリス	
21	S1A:0801tbl:640	カンナ\n紅蘭	
21	S1A:0801tbl:879	ギギ……ギギギギ……！	
20	S1A:0203tbl:358	は、はい。	
20	S1A:0301tbl:917	そこまでよ！	
20	S1A:0804tbl:180	よっしゃあ！	
20	S1S:m01mes:178	やったわ！	
20	S2A:SK0307:603	服装５\n表情０１	
20	S2A:SK0307:604	服装５\n表情０２	
20	S2A:SK0401:251	わんわんっ！	
19	S1A:0100tbl:567	あたしに何かご用ですか？	
19	S1A:0109tbl:448	大神だけど……	
19	S1A:0306tbl:546	ああ、おやすみ。	
19	S1A:0806tbl:71	了解‼	
19	S1S:m01mes:112	行きます！	
19	S1S:m01mes:114	見ていてくださいね、\n大神さん。	
19	S1S:m01mes:115	まだ、まだ大丈夫……	
19	S1S:m01mes:119	きゃぁぁぁ……	
19	S1S:m01mes:120	つっ、\n次は負けないわ！	
19	S1S:m01mes:121	大神さん……\n本当にごめんなさい……	
19	S1S:m01mes:122	わたくしの出番ですわね。	
19	S1S:m01mes:123	オホホホホホ……	
19	S1S:m01mes:124	いきますわよ‼	
19	S1S:m01mes:125	今日のわたくしは\nあなたのために！	
19	S1S:m01mes:126	この程度では負けませんわ……	
19	S1S:m01mes:127	少尉……\nやはりわたくしのことを……	
