key	enc	maxbytes	ja	ko
000BB194	utf8	19	深川 おとり戦	후카가와 미끼
000BB1A8	utf8	19	深川 護衛作戦	후카가 호위전
000BB1BC	utf8	19	深川 五鈷戦	후카가 오고전
000BB1D8	utf8	19	熱海 山側増援	아타미 산증원
000BB1EC	utf8	19	熱海 海側増援	아타미 해증원
000BB200	utf8	19	熱海 水狐金剛	아타미 수호전
000BB21C	utf8	19	池袋 援護要請	이케부쿠 원호
000BB230	utf8	19	池袋 救出強行	이케부쿠 구출
000BB244	utf8	19	池袋 宝形戦	이케부쿠 보형
000BB258	utf8	19	浅草 織姫救出	아사쿠 구출전
000BB26C	utf8	19	浅草 五鈷戦	아사쿠 오고전
000BB288	utf8	19	帝劇 帝防解除	제극 제방해제
000BB29C	utf8	19	帝劇 砲台破壊	제극 포대파괴
000BB2B0	utf8	19	帝劇 智拳戦	제극 지권전
000BB2C4	utf8	19	新宿 停車場	신주쿠 정차장
000BB2E0	utf8	19	赤坂 正面作戦	아카사 정면전
000BB2F4	utf8	19	赤坂 潜入作戦	아카사 잠입전
000BB308	utf8	19	赤坂 大日剣戦	아카사 대일검
000BB31C	utf8	19	赤坂 八葉戦	아카사 팔엽전
000BB330	utf8	19	赤坂 闇神威戦	아카사 암신위
000BB344	utf8	19	王子 花組救出	오지 화조구출
000BB358	utf8	19	機関部 防衛戦	기관부 방위전
000BB36C	utf8	19	機関部 八葉戦	기관부 팔엽전
000BB380	utf8	19	甲板 降魔迎撃	갑판 강마요격
000BB394	utf8	19	甲板 八葉戦	갑판 팔엽전
000BB3A8	utf8	19	武蔵 砲台撃破	무사시 포대전
000BB3BC	utf8	19	武蔵 大日剣戦	무사시 대일검
000BB3D0	utf8	19	武蔵 闇神威戦	무사시 암신위
000BB3E4	utf8	15	御柱の間	미하시라방
000BB4B4	utf8	35	第一話～花萌える帝都～	제１화～꽃피는제도～
000BB4D8	utf8	39	第二話～アイリスの手紙～	제２화～아이리스의편지～
000BB500	utf8	39	第三話～あぁ、お見合い～	제３화～아아, 맞선～
000BB528	utf8	55	第四話～大暴れ！火の玉芸者ガールズ～	제４화～대소동！불덩이 게이샤 걸즈～
000BB560	utf8	43	第五話～嬉し恥ずかし夏休み～	제５화～설레고부끄러운여름～
000BB58C	utf8	39	第六話～レニよ、銃をとれ～	제６화～레니여，총을들라～
000BB5B4	utf8	39	第七話～季節はずれの七夕～	제７화～철 지난 칠석～
000BB5DC	utf8	43	第八話～帝都の一番長い日!?～	제８화～제도의가장긴날!?～
000BB608	utf8	51	第九話～劇場のメリークリスマス～	제９화～극장의 메리 크리스마스～
000BB63C	utf8	43	第十話～巷に雪の降るごとく～	제１０화～거리에 눈 내리듯～
000BB668	utf8	39	第十一話～地上最大の作戦～	제１１화～지상최대의작전～
000BB690	utf8	39	第十二話～乙女たちの晩歌～	제１２화～소녀들의 만가～
000BB6B8	utf8	51	第十三話～君がために汽笛は鳴る～	제１３화～그대위해기적은울린다～
000BBD3C	sjis	15	サクラ大戦２	사쿠라대전２
000BBDAC	sjis	27	サクラ大戦２ 追加シナリオ	사쿠라대전２추가시나리오
000CA7F4	utf8	27	サクラ大戦１＆２	사쿠라대전１＆２
000CA810	utf8	43	サクラ大戦２システムファイル	사쿠라대전２ 시스템 파일
000CA83C	utf8	43	サクラ大戦２戦闘中断ファイル	사쿠라대전２ 전투중단 파일
000CA868	utf8	35	新規セーブファイル作成	새 저장 파일 만들기
000CA97A	utf8	37	それでもよろしいですか？	그래도 진행할까요？
000CA9A0	utf8	67	容量確保のためにセーブデータを削除しますか？	공간 확보를 위해 저장 데이터를 지울까요？
000CAA1C	utf8	59	失敗しました。もう一度ロードしますか？	실패했습니다. 다시 불러올까요？
000CAA96	utf8	117	セーブせずにタイトル画面に戻った場合は、それまでのプレイ記録は保持されません。	저장하지 않고 타이틀 화면으로 돌아가면 그때까지의 플레이 기록은 남지 않습니다.
000CAC90	utf8	47	このままゲームを開始しますか？	이대로 게임을 시작할까요？
000CAFC0	utf8	67	サクラ大戦2システムファイルを作成しますか？	사쿠라대전2 시스템 파일을 만들까요？
000CB095	utf8	230	サクラ大戦2システムファイルを上書きすると、そのサクラ大戦2システムファイルに保存されているクリアデータなどのゲーム情報は失われますので、ご注意ください。	사쿠라대전2 시스템 파일을 덮어쓰면 그 파일에 저장된 클리어 데이터 등의 게임 정보가 사라지니 주의하세요.
000CB1BE	utf8	89	ゲーム中は、このメモリースティック™を抜かないでください。	게임 중에는 이 메모리 스틱™을 뽑지 마세요.
000CB25D	utf8	90	ゲーム中は、このメモリースティック™を抜かないでください。	게임 중에는 이 메모리 스틱™을 뽑지 마세요.
000CB3A7	utf8	48	このままゲームを開始しますか？	이대로 게임을 시작할까요？
000CB474	utf8	43	サクラ大戦２システムファイル	사쿠라대전２ 시스템 파일
000CB4B8	utf8	43	サクラ大戦２戦闘中断ファイル	사쿠라대전２ 전투중단 파일
