key	enc	maxbytes	ja	ko
001C4B68	sjis	7	とおる	토오루
001C4B70	sjis	7	ちえ	치에
001C4B78	sjis	7	きよみ	키요미
001C4B80	sjis	7	まさこ	마사코
001C4B88	sjis	7	ともこ	토모코
001C4B90	sjis	7	としえ	토시에
001C4B98	sjis	7	まさみ	마사미
001C4BA0	sjis	7	あゆみ	아유미
001C4BA8	sjis	7	みつこ	미츠코
001C4BB0	sjis	3	赤	빨
001C4BB4	sjis	3	青	파
001C4BB8	sjis	3	黄	노
001C4BBC	sjis	3	緑	초
001C4BC0	sjis	3	紫	보
001C4BC4	sjis	3	白	흰
001C4DD4	sjis	7	です。	예요.
001C4F0C	sjis	7	かな。	려나.
001C4F24	sjis	11	色です。	색이요.
001C4F3C	sjis	19	色の服を着てます。	색 옷 입었어요.
001C4F94	sjis	15	色だったかな。	색이었으려나.
001C4FDC	sjis	7	だな。	구나.
001C506C	sjis	27	目立つはずなんですけど……	눈에 띌 텐데요……
001C51B8	sjis	31	相手に背を向けてしまうんです。	상대에게 등을 돌려 버려요.
001C5204	sjis	31	これといった特徴はないなあ。	이렇다 할 특징은 없네.
001C524C	sjis	23	服なんか着てませんよ。	옷은 안 입어요.
001C5298	sjis	31	見ればすぐにわかるはずだよ。	보면 바로 알 수 있어.
001C52D0	sjis	27	えーと、毛の色は白です。	음, 털은 흰색이에요.
001C5304	sjis	31	ホントにバカ犬だ！  まったく。	정말 바보 개다！  참나.
001C5374	sjis	15	くれるんです！	주는 거예요！
001C53A0	sjis	31	何でもできるお利口さんです。	뭐든 하는 똑똑이예요.
001C53E0	sjis	27	野良犬ぐらしは大変じゃぞ！	들개 생활은 힘들다！
001C5460	sjis	31	しっぽの長さは普通ですかな。	꼬리 길이는 보통이려나.
001C556C	sjis	19	やたらほえるんだ。	엄청 짖어대.
001D5058	sjis	11	記録なし	기록없음
001D5064	sjis	7	　　	
001D506C	sjis	7	１話	１화
001D5074	sjis	7	２話	２화
001D507C	sjis	7	３話	３화
001D5084	sjis	7	４話	４화
001D508C	sjis	7	５話	５화
001D5094	sjis	7	６話	６화
001D509C	sjis	7	７話	７화
001D50A4	sjis	7	８話	８화
001D50AC	sjis	7	９話	９화
001D50BC	utf8	15	記録なし	기록없음
001D50CC	utf8	39	第一話～帝都・花の華撃団～	제１화～제도・꽃의화격단～
001D50F4	utf8	39	第二話～敵の名は黒之巣会～	제２화～적의이름흑지소회～
001D511C	utf8	43	第三話～オレは隊長失格！？～	제３화～나는 대장 실격！？～
001D5148	utf8	47	第四話～暴走！暴走！大暴走！～	제４화～폭주！폭주！대폭주！～
001D5178	utf8	59	第五話～花と咲かせよ！乙女の意地で！～	제５화～꽃으로피어라！소녀의오기로！～
001D51B4	utf8	39	第六話～帝都大崩壊！？～	제６화～제도대붕괴！？～
001D51DC	utf8	39	第七話～決戦　命の限り！～	제７화～결전　목숨걸고！～
001D5204	utf8	51	第八話～平和な日々はデートだよ！～	제８화～평화로운 나날은 데이트！～
001D5238	utf8	39	第九話～現れた最終兵器～	제９화～나타난최종병기～
001D5260	utf8	31	第十話～最後の審判～	제１０화～최후심판～
001D5280	utf8	23	大神のとまどい	오가미의망설임
001D5298	utf8	23	上野公園 戦闘前	우에노공원 전전
001D52B0	utf8	23	上野公園 戦闘後	우에노공원 전후
001D52C8	utf8	23	第二話はじまり	제２화 시작
001D52E0	utf8	19	紅蘭帝劇配属	코란 제극배속
001D52F4	utf8	19	大神舞台修理	오가미 무대
001D5308	utf8	19	芝公園 戦闘前	시바공원 전전
001D531C	utf8	19	芝公園 戦闘後	시바공원 전후
001D5330	utf8	23	第三話はじまり	제３화 시작
001D5348	utf8	19	マリアの苦悩	마리아의고뇌
001D5368	sjis	11	姶髣伜燕	
001D538C	utf8	15	刹那の陰謀	찰나의음모
001D53A8	sjis	11	姶髣伜燕	
001D53B4	utf8	39	築地_夜 戦闘マリアさらわる	츠키지_밤 전투 마리아 납치
001D53DC	utf8	35	築地_夜 戦闘マリア救出	츠키지_밤 마리아구출
001D5418	utf8	23	第四話はじまり	제４화 시작
001D5430	utf8	23	アイリスの暴走	아이리스의폭주
001D5448	utf8	23	アイリスの説得	아이리스의설득
001D5460	utf8	19	浅草 戦闘前	아사쿠사 전전
001D5474	utf8	19	浅草 戦闘後	아사쿠사 전후
001D5488	utf8	23	第五話はじまり	제５화 시작
001D54A0	utf8	23	深川廃屋偵察へ	후카폐가정찰
001D54B8	utf8	23	深川廃屋 戦闘前	후카폐가 전전
001D54D0	utf8	23	深川廃屋 戦闘後	후카폐가 전후
001D54E8	utf8	23	第六話はじまり	제６화 시작
001D5500	utf8	19	さくらの相談	사쿠라의상담
001D5514	utf8	23	帝劇地下 戦闘前	제극지하 전투전
001D552C	utf8	23	帝劇地下 戦闘後	제극지하 전투후
001D5544	utf8	23	第七話はじまり	제７화 시작
001D555C	utf8	27	黒之巣会本拠地へ	흑지소회본거지로
001D5578	utf8	27	脇侍大群からの脱出	협시 대군에서 탈출
001D5594	utf8	19	日本橋 戦闘前	니혼바시 전전
001D55A8	utf8	39	日本橋（天海の間）戦闘後	니혼바시（텐카이방）전투후
001D55D0	utf8	23	第八話はじまり	제８화 시작
001D55E8	utf8	23	明冶神宮 戦闘前	메이지신궁 전전
001D5600	utf8	23	明冶神宮 戦闘後	메이지신궁 전후
001D5618	utf8	15	光武壊滅	광무괴멸
001D5628	utf8	15	花組の特訓	꽃조의특훈
001D5638	utf8	19	銀座 戦闘前	긴자 전투전
001D564C	utf8	19	銀座 戦闘後	긴자 전투후
001D5660	utf8	23	第九話はじまり	제９화 시작
001D5678	utf8	27	最後の切札、魔神器	최후의패，마신기
001D5694	utf8	19	帝劇 戦闘前	제극 전투전
001D56A8	utf8	19	帝劇 戦闘後	제극 전투후
001D56BC	utf8	19	殺女の目覚め	사츠메의각성
001D56D0	utf8	23	第十話はじまり	제１０화 시작
001D56E8	utf8	27	聖魔城入口 戦闘前	성마성입구 전투전
001D5704	utf8	19	聖魔城回廊後	성마성회랑후
001D5718	utf8	31	聖魔城終末の間 戦闘前	성마성종말방 전투전
001D5738	utf8	31	聖魔城終末の間 戦闘後	성마성종말방 전투후
001D5758	utf8	15	花組復活	꽃조부활
001D5768	utf8	15	サタン消滅	사탄 소멸
001D5778	sjis	15	サクラ大戦　%s	사쿠라대전　%s
001D57D8	sjis	15	破損ファイル	손상된 파일
001D582C	sjis	27	サクラ大戦のセーブファイル	사쿠라대전 저장 파일
001D5848	utf8	15	記録なし	기록없음
001D5858	utf8	15	上野公園	우에노공원
001D5868	utf8	11	芝公園	시바
001D5874	utf8	15	築地　昼	츠키지　낮
001D5884	utf8	15	築地　夜	츠키지　밤
001D5894	utf8	27	築地　蒼角との戦い	츠키지　창각과싸움
001D58B0	utf8	15	浅草雷門	아사쿠뇌문
001D58C8	utf8	15	帝劇地下	제극지하
001D58D8	utf8	23	天海の本拠地？	텐카이본거지？
001D58F0	utf8	11	日本橋	니혼
001D58FC	utf8	23	黒之巣会本拠地	흑지소회본거지
001D5914	utf8	27	明冶神宮　降魔登場	메이지　강마등장
001D5930	utf8	27	明冶神宮　空爆後	메이지신궁　공습후
001D5954	utf8	23	帝劇前　其の壱	제극앞　그１
001D596C	utf8	23	帝劇前　其の弐	제극앞　그２
001D5984	utf8	15	銀座　深夜	긴자　심야
001D5994	utf8	15	聖魔城入口	성마성입구
001D59A4	utf8	39	聖魔城回廊　殺女との戦い	성마성회랑　사츠메와싸움
001D59CC	utf8	15	最後の審判	최후의심판
001D59DC	utf8	35	浅草雷門　アイリス救出	아사쿠사　아이리스구출
001D5A00	utf8	15	天海の間	텐카이의방
001D5A10	utf8	27	聖魔城内部　其の壱	성마성내부　그１
001D5A2C	utf8	27	聖魔城内部　其の弐	성마성내부　그２
001D5A48	utf8	27	聖魔城内部　其の参	성마성내부　그３
001D5A64	utf8	27	聖魔城内部　其の四	성마성내부　그４
001D5AD0	utf8	43	サクラ大戦１戦闘中断ファイル	사쿠라대전１ 전투중단 파일
001D5AFC	sjis	19	戦闘中断ファイル	전투 중단 파일
001D5B10	utf8	43	サクラ大戦１システムファイル	사쿠라대전１ 시스템 파일
001D5B50	sjis	31	サクラ大戦のシステムファイル	사쿠라대전 시스템 파일
001D5C3A	utf8	37	それでもよろしいですか？	그래도 진행할까요？
001D5C60	utf8	67	容量確保のためにセーブデータを削除しますか？	공간 확보를 위해 저장 데이터를 지울까요？
001D5CDE	utf8	57	失敗しました。もう一度ロードしますか？	실패했습니다. 다시 불러올까요？
001D5D58	utf8	111	セーブせずにタイトルに戻った場合は、それまでのプレイ記録は保持されません。	저장하지 않고 타이틀로 돌아가면 그때까지의 플레이 기록은 남지 않습니다.
001D5F7C	utf8	67	サクラ大戦1システムファイルを作成しますか？	사쿠라대전1 시스템 파일을 만들까요？
001D6051	utf8	230	サクラ大戦1システムファイルを上書きすると、そのサクラ大戦1システムファイルに保存されているクリアデータなどのゲーム情報は失われますので、ご注意ください。	사쿠라대전1 시스템 파일을 덮어쓰면 그 파일에 저장된 클리어 데이터 등의 게임 정보가 사라지니 주의하세요.
001D617A	utf8	89	ゲーム中は、このメモリースティック™を抜かないでください。	게임 중에는 이 메모리 스틱™을 뽑지 마세요.
001D6219	utf8	90	ゲーム中は、このメモリースティック™を抜かないでください。	게임 중에는 이 메모리 스틱™을 뽑지 마세요.
001D6363	utf8	48	このままゲームを開始しますか？	이대로 게임을 시작할까요？
001D6E80	sjis	23	-折笠 愛（藤枝 あやめ）	-오리카사（아야메）
001D7380	sjis	27	KＲＥＤ １９９６，１９９８	
001D7464	sjis	7	さくら	사쿠라
001D746C	sjis	7	すみれ	스미레
001D7474	sjis	7	マリア	마리아
001D747C	sjis	7	カンナ	칸나
001D7484	sjis	11	アイリス	아이리스
001D7490	sjis	7	紅蘭	코란
001D7498	sjis	11	ごきげん	기분좋음
001D74A4	sjis	7	ななめ	삐딱함
001D74AC	sjis	11	ふつうの	보통
001D74B8	sjis	7	気分	기분
001D74C0	sjis	7	気力	기력
001D74C8	sjis	11	　充実！	　충실！
001D74D4	sjis	3	攻	공
001D74D8	sjis	3	防	방
001D74DC	sjis	3	移	이
001D74E4	sjis	11	セーブする	저장하기
001D74F0	sjis	11	ロードする	불러오기
001D74FC	sjis	11	隊員の状況	대원 상황
001D7508	sjis	15	タイトルへ戻る	처음 화면으로
001D7518	sjis	15	ゲームを再開	게임 재개
001D7670	sjis	11	最初から	처음부터
001D767C	sjis	11	ロードする	불러오기
001D7688	sjis	15	中断の続きから	중단부터 계속
001D7698	sjis	15	帝劇の長い一日	제극의 긴하루
001D76A8	sjis	15	追加シナリオ	추가시나리오
001D76B8	sjis	15	インターネット	인터넷
001D76C8	sjis	11	オプション	옵션
001D7960	sjis	3	？	
001D7B60	sjis	3	遅	▼
001D7B64	sjis	3	・	
001D7B68	sjis	3	速	▲
001D7B80	sjis	7	通常	보통
001D7B88	sjis	7	消音	무음
001D7B98	sjis	7	ＯＮ	
001D7BA0	sjis	7	ＯＦＦ	
001D7BB0	sjis	15	カーソル速度	커서 속도
001D7BC0	sjis	11	サウンド	사운드
001D7BCC	sjis	7	音声	음성
001D7BD4	sjis	15	信頼度アイコン	신뢰도 아이콘
001D7BE4	sjis	15	文字スキップ	문자 넘김
001D7BF4	sjis	11	ＥＸＩＴ	
001D7C00	sjis	7	決定	결정
001D7C08	sjis	11	取り消し	취소
001D7C14	sjis	7	移動	이동
001D7C1C	sjis	11	通常攻撃	일반공격
001D7C28	sjis	7	防御	방어
001D7C30	sjis	7	ため	충전
001D7C38	sjis	7	全図	전도
001D7C40	sjis	7	相談	상담
001D7C48	sjis	11	設定なし	설정없음
001D7C58	sjis	3	Ｘ	
001D7C64	sjis	3	Ｌ	
001D7C68	sjis	3	Ｒ	
001D7C6C	sjis	11	初期設定	초기설정
001D818C	sjis	15	オープニング１	오프닝１
001D819C	sjis	11	プロローグ	프롤로그
001D81A8	sjis	23	さくらとすみれのケンカ	사쿠라와 스미레 싸움
001D81C0	sjis	15	花組、出撃！	꽃조，출격！
001D81D0	sjis	23	弾丸列車・轟雷号、発進	탄환열차・굉뢰호，발진
001D81E8	sjis	11	死天王登場	사천왕등장
001D81F4	sjis	15	ステージ倒壊	무대 붕괴
001D8204	sjis	11	あやめ登場	아야메등장
001D8210	sjis	15	翔鯨丸、発進	상경환，발진
001D8220	sjis	15	マリアの過去	마리아의과거
001D8230	sjis	23	翔鯨丸、砲撃！（夜）	상경환，포격！（밤）
001D8248	sjis	15	アイリスの夢	아이리스의꿈
001D8258	sjis	15	アイリス救出	아이리스구출
001D8268	sjis	23	翔鯨丸、砲撃！（昼）	상경환，포격！（낮）
001D8280	sjis	19	ミロクのたくらみ	미로쿠의 흉계
001D8294	sjis	19	さくらの力、発動	사쿠라의힘，발동
001D82A8	sjis	15	光武、出動！	광무，출동！
001D82B8	sjis	23	「六破星降魔陣」発動！	「육파성강마진」발동！
001D82D0	sjis	15	霊子力レーダー	영자력 레이더
001D82E0	sjis	11	天海の最期	텐카이최후
001D82EC	sjis	11	２話予告	２화예고
001D82F8	sjis	11	３話予告	３화예고
001D8304	sjis	11	４話予告	４화예고
001D8310	sjis	11	５話予告	５화예고
001D831C	sjis	11	６話予告	６화예고
001D8328	sjis	11	７話予告	７화예고
001D8334	sjis	11	８話予告	８화예고
001D8340	sjis	19	翔鯨丸、夜間発進	상경환，야간발진
001D8354	sjis	15	オープニング２	오프닝２
001D8364	sjis	15	さくらとデート	사쿠라와데이트
001D8374	sjis	11	神武、出動	신무，출동
001D8380	sjis	11	あやめ変身	아야메변신
001D838C	sjis	11	聖魔城浮上	성마성부상
001D8398	sjis	23	空中戦艦ミカサ、発進！	공중전함미카사，발진！
001D83B0	sjis	11	ミカサ特攻	미카사특공
001D83BC	sjis	15	サタンの最期	사탄의 최후
001D83CC	sjis	7	大団円	대단원
001D83D4	sjis	19	エピローグ　さくら	에필로그　사쿠라
001D83E8	sjis	19	エピローグ　すみれ	에필로그　스미레
001D83FC	sjis	19	エピローグ　マリア	에필로그　마리아
001D8410	sjis	19	エピローグ　紅蘭	에필로그　코란
001D8424	sjis	23	エピローグ　アイリス	에필로그　아이리스
001D843C	sjis	19	エピローグ　カンナ	에필로그　칸나
001D8450	sjis	11	９話予告	９화예고
001D845C	sjis	11	最終話予告	최종화예고
001D8468	sjis	15	檄！帝国華撃団	격！제국화격단
001D8478	sjis	11	花咲く乙女	꽃피는소녀
001D8484	sjis	11	ときめき	두근거림
001D8490	sjis	19	沈黙のニヒリスト	침묵의니힐리스트
001D84A4	sjis	19	出撃！　帝国華撃団	출격！　제국화격단
001D84B8	sjis	15	我ら、黒之巣会	우리，흑지소회
001D84C8	sjis	7	堕天使	타천사
001D84D0	sjis	19	時は忘却の中に……	시간은망각속에……
001D84E4	sjis	19	ほのぼの帝劇生活	훈훈한 제극생활
001D84F8	sjis	27	みんなで作ろう明るい帝都	다함께만드는밝은제도
001D8514	sjis	11	作戦会議	작전회의
001D8520	sjis	23	がんばれ！　帝国華撃団	힘내라！　제국화격단
001D8538	sjis	19	帝都のために……	제도를위하여……
001D854C	sjis	11	最後の戦い	마지막싸움
001D8558	sjis	15	戦いのテーマ１	싸움의 테마１
001D8568	sjis	15	戦いのテーマ２	싸움의 테마２
001D8578	sjis	15	勝利のテーマ	승리의 테마
001D8588	sjis	15	敗北のテーマ	패배의 테마
001D8598	sjis	15	友情のテーマ	우정의 테마
001D85A8	sjis	15	別れのテーマ	이별의 테마
001D85B8	sjis	15	お笑いのテーマ	웃음의 테마
001D85C8	sjis	15	お正月のテーマ	설날의 테마
001D85D8	sjis	15	哀愁のテーマ	애수의 테마
001D85E8	sjis	15	怒りのテーマ	분노의 테마
001D85F8	sjis	15	喜びのテーマ	기쁨의 테마
001D8608	sjis	15	世紀末の三騎士	세기말의삼기사
001D8618	sjis	15	陰謀ドロドロ	음모질척질척
001D8628	sjis	15	なやましマンボ	고뇌의 맘보
001D8638	sjis	11	東京的休日	도쿄적휴일
001D8644	sjis	11	エチュード	에튀드
001D8650	sjis	7	さくら	사쿠라
001D8658	sjis	11	灼熱ブギ	작열부기
001D8664	sjis	19	Ｏｎｌｙ　Ｍａｎ	
001D8678	sjis	11	愛はダイヤ	사랑은보석
001D8684	sjis	27	花咲く乙女・エンディング	꽃피는 소녀・엔딩
001D86A0	sjis	11	ＥＸＩＴ	
001D86AC	sjis	3	？	
001D88A8	sjis	11	アイテム	아이템
001D88B4	sjis	11	オプション	옵션
001D88C0	sjis	15	ＥＸＩＴ	
001D8BF0	utf8	27	サクラ大戦１＆２	사쿠라대전１＆２
001D8C0C	utf8	43	サクラ大戦１戦闘中断ファイル	사쿠라대전１ 전투중단 파일
001D8C38	utf8	43	サクラ大戦１システムファイル	사쿠라대전１ 시스템 파일
001D8C64	utf8	35	新規セーブファイル作成	새 저장 파일 만들기
