key	file	index	id	flags	ja	ko
S2:EV00020:4	EV00020.MES	4	025a7fff		ああ、よく覚えてるよ。\n俺達の思い出の機体だからね。\nそう忘れはしないさ。	아아，　잘　기억하고　있어．\n우리　추억의　기체니까．\n그렇게　잊을　리　없지．
S2:EV00020:5	EV00020.MES	5	04b27fff		さすがは、大神さんですね。\nじゃあ、命令のほう\nよろしくお願いします！	역시　오오가미　씨네요．\n그럼，　명령은\n잘　부탁드려요！
S2:EV00020:6	EV00020.MES	6	02587fff		よかったら教えてくれないか。\n久しぶりに動かして、\n間違えでもしたら大変だし。	괜찮다면　가르쳐　주겠나．\n오랜만에　움직이다가\n실수하면　곤란하니까．
S2:EV00020:7	EV00020.MES	7	04b07fff		はい。わかりました。\nそれじゃ、私たちの操縦を\nよく見ておいてくださいね。	네．　알겠습니다．\n그럼　저희　조종을\n잘　지켜봐　주세요．
S2:EV00020:8	EV00020.MES	8	02587fff	dup=S1A:0101tbl:783	…………	…………
S2:EV00020:9	EV00020.MES	9	04b07fff		どうしたんですか、大神さん？\n久しぶりの戦いなんで、\n緊張してるんですか？	무슨　일이에요，　오오가미\n씨？　오랜만의　전투라\n긴장했나요？
S2:EV00020:10	EV00020.MES	10	04b07fff		じゃあ、念のため、\n私たちの操縦を\nよく見ておいてくださいね。	그럼　만일을　위해\n저희　조종을\n잘　지켜봐　주세요．
S2:EV00020:11	EV00020.MES	11	04b17fff		いきます！	갑니다！
S2:EV00020:12	EV00020.MES	12	04b07fff		今のように移動を選択した後、\n表示された範囲の中から、\n移動する先を選択します。	먼저　이동을　선택하고，\n표시된　범위　안에서\n이동할　곳을　선택해요．
S2:EV00020:13	EV00020.MES	13	04b27fff		また、行き先をまちがえても\n「もどる」を使うことで\n移動をやりなおせますよ。	또　목적지를　잘못　골라도\n「돌아가기」를　사용하면\n이동을　다시　할　수　있죠．
S2:EV00020:14	EV00020.MES	14	04b27fff		「もどる」を使うことで、\n移動ををやりなおせるように\nなったんですよ。	「돌아가기」를　사용하면，\n이동을　다시　할　수　있게\n된　거예요．
S2:EV00020:15	EV00020.MES	15	14517fff		攻撃のチャンスだよ！	공격할　기회야！
S2:EV00020:16	EV00020.MES	16	04b07fff		攻撃の場合も、攻撃を選んだ\n後に表示される範囲の中から、\n攻撃する相手を選択します。	공격도　공격을　고른　뒤\n표시된　범위　안에서\n공격할　상대를　선택해요．
S2:EV00020:17	EV00020.MES	17	04b27fff		光武は、１度に２回の行動を\nおこなうことができます。	광무는　한　번에　두　번\n행동할　수　있어요．
S2:EV00020:18	EV00020.MES	18	04b27fff		今の場合だと、「移動」と\n「攻撃」を行ったので、\n今回は行動終了になります。	이번에는　「이동」과\n「공격」을　했으니，\n이번　행동은　끝이에요．
S2:EV00020:19	EV00020.MES	19	1c207fff		ふ～ん、さくらさん\nなかなかやるってカンジ。	흠，　사쿠라　씨\n제법　하는데．
S2:EV00020:20	EV00020.MES	20	1c227fff		でも、まだまだで～す。\nこれぐらいは\nやって見せてくださ～い！	하지만　아직　멀었어ー．\n이　정도는\n해　보이라고요ー！
S2:EV00020:21	EV00020.MES	21	1c227fff		ふふん。楽勝で～す！	후훗．　식은　죽　먹기예요！
S2:EV00020:22	EV00020.MES	22	04b47fff		大神さん、見ましたか？\nあれが織姫さんの\n必殺攻撃です！	오오가미　씨，　보셨나요？\n저게　오리히메　씨의\n필살　공격이에요！
S2:EV00020:23	EV00020.MES	23	04b07fff		私たちは、気合値が\n最大の時にのみ使用できる\n必殺攻撃を持っています。	저희는　기합치가\n최대일　때만　쓸　수　있는\n필살　공격이　있어요．
S2:EV00020:24	EV00020.MES	24	04b07fff		必殺攻撃はすごく強力な\n攻撃ですが、使用すると\n気合値が０になります。	필살　공격은　아주　강력한\n공격이지만，　사용하면\n기합치가　０이　돼요．
S2:EV00020:25	EV00020.MES	25	04b07fff		でも、「ため」を行った時や\nダメージを受けてしまった時に\n気合値は増えますから……	하지만　「모으기」를　하거나\n피해를　입으면\n기합치는　늘어나니까……
S2:EV00020:26	EV00020.MES	26	04b27fff		ここだ、と思った場所で\nどんどん使っていって\nください！	여기다　싶은　곳에서\n팍팍　사용해서\n주세요！
S2:EV00020:27	EV00020.MES	27	04b87fff	dup=S1S:m25mes:85	きゃあっ！	꺄악！
S2:EV00020:28	EV00020.MES	28	14517fff		さくら、大丈夫？\n今、回復してあげるから、\nまっててね！	사쿠라，　괜찮아？\n지금　회복해　줄　테니까，\n기다려！
S2:EV00020:29	EV00020.MES	29	14527fff		お兄ちゃん、光武には、\n機体の耐久値を回復させる\n機能があるの。	오빠，　광무에는\n기체　내구치를　회복하는\n기능이　있어．
S2:EV00020:30	EV00020.MES	30	14507fff		でも、回数制限があるから、\n気をつけないといざという時に\n回復できなくなっちゃうよ。	하지만　횟수　제한이\n있으니，　조심해야　해．\n필요할　때　못　쓰게　돼．
S2:EV00020:31	EV00020.MES	31	1c217fff		まったく、あんな攻撃で\nおたおたするなんて、\nレベル低いで～す！	정말，　저런　공격에\n쩔쩔매다니，\n수준　낮네요ー！
S2:EV00020:32	EV00020.MES	32	1c217fff		さくらさんも、攻撃ばかり\nしないで、きちんと「防御」\nしておいてくださ～い！	사쿠라　씨도　공격만　하지\n말고，　제대로　「방어」　해\n두세요ー！
S2:EV00020:33	EV00020.MES	33	1c207fff		防御すれば、次に自分の番が\nまわってくるまでの間、\n被害を少なくできま～す。	방어하면　다음　자기　차례가\n돌아올　때까지\n피해를　줄일　수　있어요ー．
S2:EV00020:34	EV00020.MES	34	04b47fff		は、はい！\n気をつけます……	네，　네！\n조심할게요……
S2:EV00020:35	EV00020.MES	35	04b07fff		でも、今でてきた、\n「防御」と「回復」は、一度に\n実行することができません。	하지만　지금　나온\n「방어」와　「회복」은　한\n번에　실행할　수　없어요．
S2:EV00020:36	EV00020.MES	36	04b07fff		実は、同系統の行動は、\n１度に１つしか\n実行できないんです。	사실　같은　계통의　행동은\n한　번에　하나만\n실행할　수　있거든요．
S2:EV00020:37	EV00020.MES	37	04b07fff		例えば、「攻撃」と「必殺」は\n同じ系統なので、どちらか\nひとつしか選べないし、	예를　들어　「공격」과\n「필살」은　같은　계통이라\n하나만　고를　수　있고，
S2:EV00020:38	EV00020.MES	38	04b07fff		また、「回復」「防御」\n「ため」も同じ系統なので、\nひとつしか実行できません。	또　「회복」，　「방어」，\n「모으기」도　같은　계통이라\n하나만　실행할　수　있어요．
S2:EV00020:39	EV00020.MES	39	04b07fff		……えっと、\nこれで、光武の操縦法も、\n思いだしましたよね？	……음，\n이제　광무　조종법도\n기억났죠？
S2:EV00020:40	EV00020.MES	40	04b27fff		ここから先は、\n大神さんが私たちに\n命令をだしてください！	이제부터는\n오오가미　씨가　저희에게\n명령을　내려　주세요！
S2:EV00050:0	EV00050.MES	0	04b20686		大神さん、\nこうして並んで戦うの\n久しぶりですよね。	오오가미　씨，\n이렇게　나란히　싸우는　건\n오랜만이죠．
S2:EV00050:1	EV00050.MES	1	025a7fff		そうだね、そういえば\nさくらくんと\n初めて会ってから……	그렇지，　그러고　보니\n사쿠라　군과\n처음　만난　뒤로……
S2:EV00050:2	EV00050.MES	2	025a7fff		一年くらいになるね。	１년쯤　됐네．
S2:EV00050:3	EV00050.MES	3	025a7fff		二年くらいになるね。	２년쯤　됐네．
S2:EV00050:4	EV00050.MES	4	025a7fff		二十年になるかな？	２０년　됐나？
S2:EV00050:5	EV00050.MES	5	025a7fff		一年くらいになるよね。	１년쯤　됐지．
S2:EV00050:6	EV00050.MES	6	04b40687	gaiji=81AC	……もう、大神さん！\n何言っているんですか⁉	…이제，오오가미　씨！　무슨\n말씀을　하시는　거예요⁉
S2:EV00050:7	EV00050.MES	7	04b40688		あたしが\n大神さんと会ってから、\nもう、二年になるんですよ！	제가\n오오가미　씨를　만난　지\n벌써　２년이　됐다고요！
S2:EV00050:8	EV00050.MES	8	025e7fff		そ、そうだったっけ？\nそうか、もう二年に\nなるのか……	그，　그랬던가？　그렇구나，\n벌써　２년인가……
S2:EV00050:9	EV00050.MES	9	025a7fff		二年くらいになるよね。\n上野公園でさくらくんと\n初めて会ってから。	２년쯤　됐지．\n우에노　공원에서\n사쿠라　군을　처음　만나고．
S2:EV00050:10	EV00050.MES	10	04b20689		そうですね。あの時\n大神さん、あたしが花組の\n隊員とわからずに……	그렇네요．　그때\n오오가미　씨는　제가　화조\n대원인　줄도　모르고……
S2:EV00050:11	EV00050.MES	11	025a7fff		そうだ。\nそんなこともあったね……	맞아．\n그런　일도　있었지……
S2:EV00050:12	EV00050.MES	12	04b2068a		今となっては\nいい思い出ですよね。	지금　와서는\n좋은　추억이네요．
S2:EV00050:13	EV00050.MES	13	025a7fff		二十年にもなるのかな？	２０년이나　됐나？
S2:EV00050:14	EV00050.MES	14	04b6068b		お、大神さん、\nなに言ってるんですか！\n二十年だなんて……	오，　오오가미　씨，\n무슨　말씀을　하세요！\n２０년이라니……
S2:EV00050:15	EV00050.MES	15	04b6068c		そのころ、あたし……\nまだ生まれてませんよ！	그때　저는……\n아직　태어나지도　않았어요！
S2:EV00050:16	EV00050.MES	16	025e7fff		ご、ごめん。\n緊張をほぐしてあげようと\n思ったんだけど……	미，　미안．　긴장을　풀어\n주려던　건데……
S2:EV00050:17	EV00050.MES	17	02587fff	dup=S1A:0101tbl:783	…………	…………
S2:EV00050:18	EV00050.MES	18	04b0068d		どうしたんですか、大神さん。\n黙ってしまって……	무슨　일이에요，　오오가미\n씨．　말이　없으셔서……
S2:EV00050:19	EV00050.MES	19	025e7fff		あっ、ごめん。\nいや、さくらくんとの思い出を\n懐かしんでいたら、つい……	아，　미안．\n사쿠라　군과의　추억을\n그리워하다　보니　그만……
S2:EV00050:20	EV00050.MES	20	04b2068e		なあんだ……\n返事がないから、\nびっくりしちゃいました。	뭐야……\n대답이　없어서\n깜짝　놀랐잖아요．
S2:EV00050:21	EV00050.MES	21	025a7fff		ごめん、ごめん……	미안，　미안……
S2:EV00050:22	EV00050.MES	22	04b2068f		ふふ……でも大神さんが\n変わっていないんで\n安心しました。	후후……\n오오가미　씨가　변하지　않아\n안심했어요．
S2:EV00050:23	EV00050.MES	23	04b20690	gaiji=81B8	また、大神さんと\n一緒に戦えてうれしいです。\nがんばりましょうね‼	다시　오오가미　씨와　함께\n싸울　수　있어　기뻐요．\n힘내요‼
S2:EV00051:0	EV00051.MES	0	1c267fff		……ちょっと少尉さーん！\nわたしのそばに来るなと、\nあれほど言ったでしょー！	……잠깐，　소위님ー！\n제　곁에　오지　말라고\n그렇게　말했잖아요ー！
S2:EV00051:1	EV00051.MES	1	025c7fff	gaiji=81AC	……ええっ⁉	……네에⁉
S2:EV00051:2	EV00051.MES	2	1c267fff		まったく、日本のオトコ\nゴキブリよりたち悪いでーす！\nしっ、しっ！	정말이지，　일본　남자는\n바퀴벌레보다　끈질겨요ー！\n저리　가，　저리！
S2:EV00051:3	EV00051.MES	3	025c7fff		そっ、そんな……	그，　그런……
S2:EV00052:0	EV00052.MES	0	1c277fff		少尉さーん、\nいい加減にしてくださーい！	소위님ー，\n이제　그만해　주세요ー！
S2:EV00052:1	EV00052.MES	1	1c277fff		わたし、日本のオトコ\nキライだと言ってるでは\nありませんかー！	저，　일본　남자는\n싫다고　말했잖아요ー！\n정말　모르시겠어요ー！
S2:EV00052:2	EV00052.MES	2	025b7fff		……織姫くん。\nきみが日本のオトコを\n嫌っているのはわかった……	……오리히메　군．\n자네가　일본　남자를\n싫어하는　건　알겠는데……
S2:EV00052:3	EV00052.MES	3	025b7fff		でも、今は戦闘中だ。\n君との距離を気にしていては\nうまく戦えない……	하지만　지금은　전투　중．\n자네와　거리를　두면\n제대로　싸울　수　없어……
S2:EV00052:4	EV00052.MES	4	025b7fff		少しの間だけ、\nがまんしてくれないか？	잠깐만\n참아　줄　수　없겠나？
S2:EV00052:5	EV00052.MES	5	1c207fff		はぁ……仕方ないですねー。\nま、どうせ今だけだしー。	하아…　어쩔　수　없네요ー．\n뭐，어차피　지금뿐이고ー．
S2:EV00052:6	EV00052.MES	6	1c207fff		ちょっとの間なら\nＯＫってことに\nしてあげまーす。	잠깐이라면\nＯＫ로　해　드릴게요ー．\n그렇게　하죠ー．
S2:EV00052:7	EV00052.MES	7	025a7fff		あ、ありがとう、織姫くん。	아，고마워，오리히메　군．
S2:EV00054:0	EV00054.MES	0	14527fff		ねぇ、お兄ちゃん……\nアイリス、お兄ちゃんが戻って\nきてくれてうれしいな。	있잖아，　오빠……\n아이리스，　오빠가　돌아와\n줘서　기뻐．
S2:EV00054:1	EV00054.MES	1	14527fff		お兄ちゃん、わかるかなぁ？\nアイリスねえ、\nいろいろ成長したんだよぉ。	오빠，　알까？\n아이리스가　말이야，\n많이　자랐어．
S2:EV00054:2	EV00054.MES	2	14527fff		背が大きくなったかな。	키가　커졌나．
S2:EV00054:3	EV00054.MES	3	14527fff		ジャンポール大きくなったね。	장폴이　커졌구나．
S2:EV00054:4	EV00054.MES	4	025a7fff		そうだな……\n背が大きくなったかな。	그렇지……\n키가　커졌나．
S2:EV00054:5	EV00054.MES	5	14527fff		そうだよ！\nアイリス、９センチも大きく\nなったんだからぁ！	맞아！\n아이리스，　９센티나\n커졌으니까아！
S2:EV00054:6	EV00054.MES	6	025a7fff		すごいなあ、アイリス。	대단하네，　아이리스．
S2:EV00054:7	EV00054.MES	7	025a7fff		そうだな……\nジャンポールが\n大きくなったかな。	그렇지……\n장폴이\n커졌나．
S2:EV00054:8	EV00054.MES	8	14567fff		えーっ！\nジャンポールは\nかわってないよぉー。	에ー⁉\n장폴은\n안　변했어ー．
S2:EV00054:9	EV00054.MES	9	025d7fff		そ、そうだよね。	그，　그렇지．
S2:EV00054:10	EV00054.MES	10	14567fff		へんなお兄ちゃん……	이상한　오빠……
S2:EV00054:11	EV00054.MES	11	02597fff		……そうだ、アイリス。\n光武・改も成長しているんだ！	……맞아，　아이리스．　광무\n개량형도　자라고　있어！
S2:EV00054:12	EV00054.MES	12	14517fff		お兄ちゃん、ごまかしたぁ！	오빠，　얼버무렸지ー！
S2:EV00055:0	EV00055.MES	0	02587fff		これが帝劇防御壁……\nいつの間に、\nこんなものを……？	이게　제극　방어벽……\n어느새\n이런　걸……？
S2:EV00055:1	EV00055.MES	1	25807fff		どうだ大神！　この帝劇防御壁\n……略して「帝防」がある限り\nここは簡単には落ちねぇぜ！	어때，오오가미！제극　방벽은\n…「제방」이　있는　한\n여긴　쉽게　무너지지　않아！
S2:EV00055:2	EV00055.MES	2	25807fff		何せ、全部シルスウス鋼で\nできてるからな。	전부　실루스우스　강철로\n만들었거든．
S2:EV00055:3	EV00055.MES	3	02597fff	gaiji=81E5	それでは、これで\n帝撃本部の守りは完璧\nというわけですね、長官！	그럼，　이걸로\n제격　본부　수비는\n완벽하군요，　장관님！
S2:EV00055:4	EV00055.MES	4	25807fff		そういうこった。\nそれじゃ、後のことは\nお前らに任せたぜ！	그렇지．\n그럼　뒷일은\n너희에게　맡기마！
S2:EV00055:5	EV00055.MES	5	02597fff		了解しました！	알겠습니다！
S2:EV00060:0	EV00060.MES	0	1c227fff		うふふっ！\nやはり、この程度の敵なら\n楽勝でーす！	후후훗！\n역시　이　정도　적이면\n식은　죽　먹기예요ー！
S2:EV00060:1	EV00060.MES	1	025c7fff		す、すごいな……	대단하군……
S2:EV00060:2	EV00060.MES	2	025c7fff		さすが、元・星組だ！	역시　전　별조답군！
S2:EV00060:3	EV00060.MES	3	025c7fff		さすが、アイゼンクライトだ！	역시　아이젠크라이트군！
S2:EV00060:4	EV00060.MES	4	025c7fff		さすが、俺の指揮だ！	역시　내　지휘　덕분이군！
S2:EV00060:5	EV00060.MES	5	025a7fff	dup=S2:EV00060:2	さすが、元・星組だ！	역시　전　별조답군！
S2:EV00060:6	EV00060.MES	6	1c227fff		その通りでーす！　これこそ\nエリート中のエリート、\n星組の実力で～す！	맞아요ー！　이게　바로\n엘리트　중의　엘리트，\n별조의　실력이에요ー！
S2:EV00060:7	EV00060.MES	7	02587fff		さすがアイゼンクライトだ！	역시　아이젠크라이트군！
S2:EV00060:8	EV00060.MES	8	1c217fff	gaiji=81AC	……はあ？\n少尉さん、いったい\nどこ見てたですかー⁉	……하아？\n소위님，　대체\n어디를　본　거예요ー⁉
S2:EV00060:9	EV00060.MES	9	1c217fff		わたしの実力が\n見抜けないなんて、少尉さんの\n目はフシ穴でーす！	제　실력을　못　알아보다니\n소위님　눈은　장식인가요ー！\n정말　모르시겠네요ー！
S2:EV00060:10	EV00060.MES	10	025a7fff	dup=S1A:0801tbl:119	ははは……	하하하……
S2:EV00060:11	EV00060.MES	11	025a7fff		……う～む、すばやい展開、\nムダのない攻防の切り替え……\nさすが俺の指揮だ！	……음，　전개가　빠르고\n공방　전환도　깔끔하고……\n역시　내　지휘다！
S2:EV00060:12	EV00060.MES	12	1c267fff		……少尉さーん。\nアナタ、とても\nおめでたい人でーす……	……소위님ー．\n당신은　정말\n참　태평한　분이에요……
S2:EV00060:13	EV00060.MES	13	025d7fff		いやぁ……\nそれほどでも……	아아……\n그　정도까지는……
S2:EV00060:14	EV00060.MES	14	025c7fff	dup=S1A:0101tbl:81	………………	………………
S2:EV00060:15	EV00060.MES	15	1c207fff		うふふっ、少尉さん、\nグウの音もでないって\nカンジでーす！	후후훗，　소위님，\n아무　말도　못　하겠죠ー！\n그런　느낌이에요ー！
S2:EV00060:16	EV00060.MES	16	02587fff		……あ、ああ、\n本当にすごいよ。\n正直いって驚いた……	……아，　아아，\n정말　대단하군．\n솔직히　놀랐어……
S2:EV00060:17	EV00060.MES	17	02587fff		織姫くん、これからも\nその調子で頼むよ！	오리히메　군，　앞으로도\n그　실력으로　부탁하네！
S2:EV00060:18	EV00060.MES	18	1c207fff		残念でしたー！\nわたしが日本で戦うのは\nこれが最後でーす！	아쉽네요ー！\n제가　일본에서　싸우는　건\n이번이　마지막이에요ー！
S2:EV00060:19	EV00060.MES	19	02587fff		そ、そうか……	그，　그렇군……
S2:EV00060:20	EV00060.MES	20	1c267fff		……はぁ、言葉の意味、\nぜ～んぜんわかって\nないですねー……	……하아，　말뜻을\n전혀　모르고\n있네요ー……
S2:EV01001:0	EV01001.MES	0	47e10b55		帝都を守っている\n帝国華撃団とかいう奴らは\nまだあらわれねえのか？	제도를　지키는\n제국화격단이라는　놈들은\n아직　안　나타났나？
S2:EV01001:1	EV01001.MES	1	53a10b56	gaiji=81E5	ふおっほっほっ……\nどのような輩がこようとも\nワシの計画は完璧じゃ……	푸호호호……\n어떤　놈이　오더라도\n내　계획은　완벽하다……
S2:EV01001:2	EV01001.MES	2	47e10b57		ふんっ！\nくだらん小細工など必要ねぇ！	흥！\n시시한　잔꾀는　필요　없어！
S2:EV01001:3	EV01001.MES	3	47e10b58		だいたい、お前はいつも\n小細工に頼りすぎなんだよ、\n木喰！	대체　너는　늘\n잔꾀에　너무　의존해，\n모쿠지키！
S2:EV01001:4	EV01001.MES	4	53a1082b		ふおっほっほっ……\nワシのは小細工ではない。\n計算と言って欲しいのう。	푸호호호……\n내　것은　잔꾀가　아니다．\n계산이라고　해　주게．
S2:EV01001:5	EV01001.MES	5	53a1082c		おお……\n無駄話はここまでじゃな。\nやつらのお出ましじゃよ。	오오……\n잡담은　여기까지로군．\n놈들이　나타났어．
S2:EV01001:6	EV01001.MES	6	04b102bf	dup=S1S:m14mes:69;gaiji=81B8	帝国華撃団、参上‼	제국화격단，　등장‼
S2:EV01001:7	EV01001.MES	7	47e9882e	gaiji=81B8	待っていたぞーっ！\n帝国華撃団‼	기다리고　있었다ー！\n제국화격단‼
S2:EV01001:8	EV01001.MES	8	47e9882f		黒鬼会・五行衆筆頭、金剛！	흑귀회　오행중　필두，금강！
S2:EV01001:9	EV01001.MES	9	53a18830		同じく木喰じゃ。\nふぉっほっほっ……	나도　모쿠지키다．\n푸호호호……
S2:EV01001:10	EV01001.MES	10	02597fff		黒鬼会……だと？\nこの帝都に敵なす者は、\n帝国華撃団が許さん！	흑귀회……라고？\n이　제도에서　적을　자처하면\n제국화격단이　용서　안　해！
S2:EV01001:11	EV01001.MES	11	47e70831		ほざけっ！　カスども！	닥쳐！　쓰레기들！
S2:EV01001:12	EV01001.MES	12	53a18832		そういきり立つな、金剛。\n何も知らずに殺すのは\n運命とはいえ忍びない。	그리　흥분하지　마，　금강．\n모르는　채　죽이는　것은\n운명이라　해도　가혹하지．
S2:EV01001:13	EV01001.MES	13	53a18833		地獄で山崎に\n説明させるわけにも\nいかぬからのう……	지옥에서　야마자키에게\n설명하게　할　수도\n없으니　말이야……
S2:EV01001:14	EV01001.MES	14	02597fff	gaiji=81AC	なにっ⁉	뭐⁉
S2:EV01001:15	EV01001.MES	15	53a18834		帝都は\n邪悪なるエネルギーによって\n繁栄したのじゃ。	제도는\n사악한　에너지로\n번영한　것이다．
S2:EV01001:16	EV01001.MES	16	53998835		お前たちは、その邪悪さを\n封じようとしておる。しかし\nそれはせんない夢よ……	너희는　그　사악함을\n봉인하려　한다．　하지만\n부질없는　꿈일　뿐이다……
S2:EV01001:17	EV01001.MES	17	47e70836		くどいぞ、木喰！	지겹다，　모쿠지키！
S2:EV01001:18	EV01001.MES	18	53a18837	gaiji=81B8	ひゃははははは‼\n力こそ正義。\nたっぷりみせてやれ、金剛‼	캬하하하하‼\n힘이　곧　정의다．\n실컷　보여　줘，　금강‼
S2:EV01001:19	EV01001.MES	19	539c8838	gaiji=81B8	……う、うぬぅ‼	……으，　으으‼
S2:EV01001:20	EV01001.MES	20	20090839		攻撃命中。	공격　명중．
S2:EV01001:21	EV01001.MES	21	47e4083a	dup=S2:EV01001:14;gaiji=81AC	なにっ⁉	뭐⁉
S2:EV01001:22	EV01001.MES	22	1c24083b		レニっ！	레니！
S2:EV01001:23	EV01001.MES	23	539c883c		お、おのれ！　ワシの計算を\n越える奴がおるとは……	이，　이놈！　내　계산을\n뛰어넘는　놈이　있다니……
S2:EV01001:24	EV01001.MES	24	47e1083d		役立たずは退がってろ！	쓸모없는　놈은　물러나！
S2:EV01001:25	EV01001.MES	25	53a0883e		金剛よ……\n後はまかせたぞ。	금강이여……\n뒤는　맡기마．
S2:EV01001:26	EV01001.MES	26	2008083f		第一目標、戦線離脱。\n……第二目標、\n攻撃の必要アリ！	제１　목표，　전선　이탈．\n……제２　목표，\n공격　필요！
S2:EV01001:27	EV01001.MES	27	14520840		キャハ！\nレニ、すごーい！	꺄하！\n레니，　대단해ー！
S2:EV01001:28	EV01001.MES	28	47e90841		うれしいねえ……\n強いヤツをみると\nゾクゾクするぜ。	기쁘구나……\n강한　놈을　보면\n짜릿해．
S2:EV01001:29	EV01001.MES	29	20087fff	dup=S1A:0101tbl:783	…………	…………
S2:EV01001:30	EV01001.MES	30	47e10842		楽にゃ殺さねえぞ！\nさあ、かかって来い！	편하게　죽이지는　않겠다！\n자，　덤벼라！
S2:EV01001:31	EV01001.MES	31	02597fff		くっ……\nしかし、市民の安全を\n第一に考えよう！	큭……\n하지만　시민의　안전을\n최우선으로　생각하자！
S2:EV01001:32	EV01001.MES	32	02597fff		鳥居の上のヤツらは後回しだ！\n先に、人々を襲っている敵を\n全滅させるぞ！	도리이　위는　나중이다！\n먼저　사람을　습격하는　적을\n전멸시키자！
S2:EV01002:0	EV01002.MES	0	02597fff		よし、やったぞ！	좋아，　해냈다！
S2:EV01020:0	EV01020.MES	0	34bd7fff	gaiji=81BF	……大神さん！\n翔鯨丸、\n攻撃準備完了ですっ！	……오오가미　씨！\n상경환，\n공격　준비　완료입니다！
S2:EV01020:1	EV01020.MES	1	02597fff		よし！　やってくれ！	좋아！　부탁한다！
S2:EV01020:2	EV01020.MES	2	34bc7fff		作戦完了！\nやりましたね、大神さん。	작전　완료！\n해냈네요，　오오가미　씨．
S2:EV01020:3	EV01020.MES	3	02587fff		ありがとう、椿ちゃん！	고마워，　츠바키！
